category,article
world health organization,Problem management
learning,Panda3D
usability inspection,TFTP
history of the internet,Registered nurse
windows network-related software,Amazon Glacier
world health organization,Material handling
business chat software,CDISC
trade associations based in south africa,Fit/gap
geophysics,Tablet
philatelic terminology,Electrician
proprietary cross-platform software,Veritas Cluster Server
firefox,Stata
hellenistic engineering,L2F
linux distributions,Microsoft InfoPath
animal superheroes,Microsoft SCVMM
financial economics,Adobe Experience Manager
pl/i programming language family,LXC
wars involving france,Web 2.0
video on demand,Core banking
programming language topics,Power supply
art directors,Telecommunications
lightweight markup languages,CANalyzer
equations of physics,Endeca
buildings and structures in davao city,OpenVZ
analysis,EPA
drought-tolerant plants,PhoneGap
staining,Solaris Volume Manager
clichés,WSFTP
search algorithms,Bomgar
algorithmic trading,ADDM
php frameworks,IGMP
3d computer graphics software for linux,TestPartner
"dutchess county, new york politicians",Keynote DeviceAnywhere
french male painters,Client/server
presidents,Concurrent computing
asp accounting systems,Apache Log4net
time series software,Ada
ethereum,OSINT
visual effects,SAP Business One
globalization terminology,Citrix XenApp
normal distribution,LoadUI
speech recognition,Programming
visualization (graphic),ZBrush
ncr corporation,EPUB
hospitality occupations,Internet recruiting
north american numbering plan,Target audience
data quality,Event management
macos network-related software,Creative problem solving
electrical power connectors,IBM SAN Volume Controller
office suites for macos,Flat file
national symbols of romania,UniData
information operations and warfare,Cashier
adobe typefaces,MVP
python-scriptable game engines,Formula language
mpeg-2,Oracle Coherence
knowledge sharing,Physics
freeware,ILOG
object models,Apple Motion
medical terminology,PIC microcontrollers
leibniz association,Physics
public-key cryptography,Twitter
nosql,NIEM
songs written by beck,Editorial
lightweight markup languages,L2F
digital typography,PDW
job evaluation,Process mapping
data mapping,Cost management
free software programmed in c sharp,PPP
ancient smyrnaeans,Materials management
data management software,IBM Rational Performance Tester
c compilers,CIDNE
international relations,TBMCS
ancient smyrnaeans,JVM
seventh-generation video game consoles,Operating expenses
netiq software,Microsoft SharePoint Designer
analysis of algorithms,OLAP
max planck institute for informatics,Basel
modes of production,Requirements engineering
management science,Sustainability
navajo culture,Batch processing
industrial processes,Swing
discontinued adobe software,SecureWorks
lists of coordinates,PPAP
huawei,Industrial engineering
cultural globalization,Altium Designer
web browsers that use gtk+,Cross-functional team
astrological aspects,HAWK
hand tools,Adobe Contribute
infrared imaging,Business relationship management
prophecy,Resource management
university towns in switzerland,.NET Remoting
"government of contra costa county, california",Policy analysis
microsoft office servers,PowerVM
pharmacies,TRIRIGA
italian-language television stations,Statistical signal processing
organizational behavior,k q-flats
c compilers,Oracle Management Server
california democrats,Video tracking
windows text editors,Digital forensics
free instant messaging clients,SOLID
philosophy of life,ActiveSync
load balancing,Informatica
wages and salaries,Educational technology
copywriters,APICS
note-taking software,OOAD
teenage mutant ninja turtles,System administration
near field communications,RDZ
dvd,Sustainability
organizations awarded an academy honorary award,LEED
exponential family distributions,Remote Application Platform
open-source intelligence,wxGlade
coordinates on wikidata,PMS
firelighting,Acceptance testing
metal blade records albums,Consensus decision-making
oracle software,Thin film
xml-based programming languages,Capacity management
statistical data types,Apache Flex
morality,DV
search algorithms,Digital electronics
3d computer graphics,Apache Avalon
build automation,PythonAnywhere
bartending equipment,dBase
world war ii airfields in morocco,CAPL
theorem proving software systems,Russian
telegraphy,TippingPoint
members of the guild of saint luke,Mobile device management
programming language semantics,Alteryx
technical specifications,VLOOKUP
telegraphy,AOP
ontology,Medical classification
open standards covered by patents,Smalltalk
computer access control protocols,GPU
android (operating system) development software,Project development
business planning,OCFS2
python-scriptable game engines,Gray box testing
programming language standards,Impromptu
c posix library,OpenLDAP
economics terminology,Video tracking
first aid,System on a chip
faster-than-light communication,BigFix
automation,Microsoft MapPoint
airports in morocco,FCoE
health promotion,MSC Software
programming language semantics,Affiliate marketing
air ambulance services in australia,QGIS
people with poliomyelitis,CIDNE
user interfaces,Consensus decision-making
digital audio workstation software,ILOG
healthcare management,Apache CXF
harvest,Analysis of variance
major league soccer,Computer simulation
artificial satellites orbiting earth,Software architecture
national symbols of austria,CoffeeScript
military communications,Marketing intelligence
econometrics software,Word processor
embedded linux,DO-178B
ethernet,Available-to-promise
neurological disorders in children,BPEL4People
internet television,LLVM
web service providers,Counseling
proprietary operating systems,Cell culture
forensic databases,Continuous improvement
ships transferred under project hula,Mathematica
bioethics,Logic synthesis
north america-centric,Ontologies
monsters,OSGi
radio stations in connecticut,Static timing analysis
nuance software,DSL
xml-based programming languages,Vulnerability management
education and training occupations,File systems
biotechnology,Far-western
ancient egyptian symbols,DevOps
software that uses wxpython,MarkLogic
national health service (england),Registered nurse
member states of the union for the mediterranean,Black-box testing
ordbms software for linux,PMO
crowdsourcing,3G MIMO
business chat software,HSPA
humanities,OpenKM
windows remote administration software,VMware Infrastructure
19th-century french painters,AutoHotkey
industrial processes,MPEG-2
mobile telecommunications standards,Mechanics
knowledge,Alteryx
north american numbering plan,Kismet
job evaluation,Affiliate marketing
polyatomic nonmetals,Altiris
speech processing,TSYS
dos software,Python
